price:68.0|title:托德尔莫慕斯卡甜高泡葡萄酒|sezhe:酒精度7.0%|crumb:选酒中心＞起泡酒＞甜起泡酒＞托德尔莫慕斯卡甜高泡葡萄酒
sezhe:酒精度13.0%|crumb:选酒中心＞红葡萄酒＞干红＞火地岛珍藏赤霞珠干红葡萄酒|price:59.0|title:火地岛珍藏赤霞珠干红葡萄酒
sezhe:酒精度14.00%|crumb:选酒中心＞红葡萄酒＞干红＞乌尔贝索特选海之舞干红葡萄酒|price:也买价:109.0|title:乌尔贝索特选海之舞干红葡萄酒
sezhe:酒精度0.125|crumb:选酒中心＞红葡萄酒＞干红＞贝卡塔瑞酒庄干红葡萄酒（中级庄）|price:159.0|title:贝卡塔瑞酒庄干红葡萄酒（中级庄）
sezhe:酒精度14%|crumb:选酒中心＞红葡萄酒＞干红＞腾塔堡克瑞斯巴罗萨干红葡萄酒（GSM）|price:179.0|title:腾塔堡克瑞斯巴罗萨干红葡萄酒（GSM）
sezhe:|crumb:选酒中心＞红葡萄酒＞干红＞泽维尔世家百分百干红葡萄酒|price:119.0|title:泽维尔世家百分百干红葡萄酒
sezhe:酒精度9.5%|crumb:选酒中心＞起泡酒＞甜起泡酒＞拉莫塔甜起泡葡萄酒（幸运泡泡）|price:65.0|title:拉莫塔甜起泡葡萄酒（幸运泡泡）
sezhe:酒精度14.5%|crumb:选酒中心＞红葡萄酒＞干红＞干露魔爵卡本妮苏维翁红葡萄酒|price:599.0|title:干露魔爵卡本妮苏维翁红葡萄酒
sezhe:酒精度13.0%|crumb:选酒中心＞其他＞卢瑟堡双得奖组合（卢萨克+瑟博）|price:158.0|title:卢瑟堡双得奖组合（卢萨克+瑟博）
sezhe:酒精度8.0%|crumb:选酒中心＞起泡酒＞甜起泡酒＞冰飞艳草莓果味起泡葡萄酒（又名：冰飞艳起泡葡萄酒）200ml|price:68.0|title:冰飞艳草莓果味起泡葡萄酒（又名：冰飞艳起泡葡萄酒）200ml
sezhe:酒精度13.5%|crumb:选酒中心＞红葡萄酒＞干红＞蒙贝城堡干红葡萄酒|price:68.0|title:蒙贝城堡干红葡萄酒
sezhe:酒精度7.5%|crumb:选酒中心＞红葡萄酒＞甜红＞费恩桑格利亚红葡萄酒（施密特旗下）|price:160.0|title:费恩桑格利亚红葡萄酒（施密特旗下）
sezhe:酒精度14.5%|crumb:选酒中心＞红葡萄酒＞干红＞蒙特斯经典梅洛干红葡萄酒-6支装|price:459.0|title:蒙特斯经典梅洛干红葡萄酒-6支装
sezhe:酒精度13.0%|crumb:选酒中心＞红葡萄酒＞半干红＞天使鱼珊瑚系列加本力苏维翁红葡萄酒|price:99.0|title:天使鱼珊瑚系列加本力苏维翁红葡萄酒
sezhe:酒精度14%|crumb:选酒中心＞红葡萄酒＞干红＞瑞美尔库纳瓦拉MC2混酿干红葡萄酒|price:149.0|title:瑞美尔库纳瓦拉MC2混酿干红葡萄酒
sezhe:酒精度13.0%|crumb:选酒中心＞其他＞巴黎范儿赤霞珠干红—6支装|price:259.0|title:巴黎范儿赤霞珠干红—6支装
sezhe:酒精度14.5%|crumb:选酒中心＞红葡萄酒＞干红＞奔富麦克斯赤霞珠干红葡萄酒|price:328.0|title:奔富麦克斯赤霞珠干红葡萄酒
sezhe:酒精度10.0%|crumb:选酒中心＞白葡萄酒＞半甜白＞粉猫雷司令半甜白葡萄酒|price:79.0|title:粉猫雷司令半甜白葡萄酒
sezhe:酒精度12.5%|crumb:选酒中心＞红葡萄酒＞干红＞小飞卓庄园干红葡萄酒2004(名庄)|price:179.0|title:小飞卓庄园干红葡萄酒2004(名庄)
sezhe:酒精度12.0%|crumb:选酒中心＞桃红葡萄酒＞干型桃红＞巴黎范儿希拉桃红葡萄酒|price:59.0|title:巴黎范儿希拉桃红葡萄酒
sezhe:|crumb:选酒中心＞其他＞爱之堡浓情干红葡萄酒【秒杀】|price:也买价:128.0|title:爱之堡浓情干红葡萄酒【秒杀】
sezhe:酒精度13.0%|crumb:选酒中心＞红葡萄酒＞干红＞康纳斯顿IX6珍藏西拉干红葡萄酒|price:59.0|title:康纳斯顿IX6珍藏西拉干红葡萄酒
sezhe:酒精度14.0%|crumb:选酒中心＞红葡萄酒＞干红＞美缇克窖藏干红葡萄酒|price:也买价:578.0|title:美缇克窖藏干红葡萄酒
sezhe:酒精度12.50%|crumb:选酒中心＞其他＞哈罗德干红葡萄酒-6支装|price:199.0|title:哈罗德干红葡萄酒-6支装
sezhe:酒精度13.0%|crumb:选酒中心＞红葡萄酒＞干红＞康纳斯顿IX9珍藏赤霞珠干红葡萄酒|price:68.0|title:康纳斯顿IX9珍藏赤霞珠干红葡萄酒
sezhe:酒精度14.5%|crumb:选酒中心＞红葡萄酒＞干红＞银葩仙粉黛干红葡萄酒|price:188.0|title:银葩仙粉黛干红葡萄酒
sezhe:|crumb:选酒中心＞其他＞乔治杜博夫薄若莱新酒双支套装（大区+村庄）|price:318.0|title:乔治杜博夫薄若莱新酒双支套装（大区+村庄）
sezhe:酒精度14.50%|crumb:选酒中心＞红葡萄酒＞干红＞腾塔堡达希塔巴罗萨梅洛干红葡萄酒|price:179.0|title:腾塔堡达希塔巴罗萨梅洛干红葡萄酒
sezhe:酒精度14.0%|crumb:选酒中心＞红葡萄酒＞干红＞美景湾普米尔赤霞珠干红葡萄酒|price:298.0|title:美景湾普米尔赤霞珠干红葡萄酒
sezhe:|crumb:选酒中心＞其他＞乔治杜博夫薄若莱新酒三支套装（大区+2支村庄）|price:476.0|title:乔治杜博夫薄若莱新酒三支套装（大区+2支村庄）
sezhe:酒精度12.0%|crumb:选酒中心＞红葡萄酒＞干红＞弗朗古堡干红葡萄酒|price:88.0|title:弗朗古堡干红葡萄酒
sezhe:酒精度13.5%|crumb:选酒中心＞红葡萄酒＞干红＞洛神山庄西拉干红葡萄酒（又名：洛神山庄设拉子红葡萄酒）（奔富酒厂出品）|price:59.0|title:洛神山庄西拉干红葡萄酒（又名：洛神山庄设拉子红葡萄酒）（奔富酒厂出品）
sezhe:酒精度12.0%|crumb:选酒中心＞白葡萄酒＞贵腐酒＞蒙特斯晚收贵腐甜白葡萄酒375ml|price:149.0|title:蒙特斯晚收贵腐甜白葡萄酒375ml
sezhe:酒精度6.0%|crumb:选酒中心＞其他＞野葡萄树黑莓风味梅洛配制酒|price:59.0|title:野葡萄树黑莓风味梅洛配制酒
sezhe:酒精度13.5%|crumb:选酒中心＞其他＞劳伦米格尔父子系列赤霞珠西拉干红葡萄酒|price:199.0|title:劳伦米格尔父子系列赤霞珠西拉干红葡萄酒
sezhe:酒精度12.5%|crumb:选酒中心＞其他＞法国AOC大礼包（夏普朗+拉昂+克拉希湾+阿诺贝提+修士庄园+杜葡）|price:299.0|title:法国AOC大礼包（夏普朗+拉昂+克拉希湾+阿诺贝提+修士庄园+杜葡）
sezhe:酒精度14.5%|crumb:选酒中心＞其他＞莎普蒂尔比拉干红葡萄酒-6支装|price:459.0|title:莎普蒂尔比拉干红葡萄酒-6支装
sezhe:酒精度13.5%|crumb:选酒中心＞其他＞WSET新手必备红酒套装（夏迪威艾赤霞珠6支装+酒具配件组合）|price:299.0|title:WSET新手必备红酒套装（夏迪威艾赤霞珠6支装+酒具配件组合）
sezhe:酒精度13%|crumb:选酒中心＞其他＞薄若莱新酒超值组合|price:也买价:606.0|title:薄若莱新酒超值组合
sezhe:酒精度14.0%|crumb:选酒中心＞红葡萄酒＞干红＞奥希耶红葡萄酒（拉菲罗斯柴尔德集团荣誉出品）|price:89.0|title:奥希耶红葡萄酒（拉菲罗斯柴尔德集团荣誉出品）
sezhe:酒精度13.50%|crumb:选酒中心＞红葡萄酒＞干红＞银葩赤霞珠干红葡萄酒|price:188.0|title:银葩赤霞珠干红葡萄酒
sezhe:酒精度12.5%|crumb:选酒中心＞红葡萄酒＞干红＞康纳斯顿IX9赤霞珠干红葡萄酒【秒杀】|price:也买价:158.0|title:康纳斯顿IX9赤霞珠干红葡萄酒【秒杀】
sezhe:酒精度12.5%|crumb:选酒中心＞红葡萄酒＞干红＞露品庄园干红葡萄酒|price:78.0|title:露品庄园干红葡萄酒
sezhe:酒精度8.5%|crumb:选酒中心＞白葡萄酒＞甜白＞拉薇甜白葡萄酒|price:89.0|title:拉薇甜白葡萄酒
sezhe:酒精度13.5%|crumb:选酒中心＞其他＞蒙特斯经典赤霞珠【整箱6瓶装】|price:399.0|title:蒙特斯经典赤霞珠【整箱6瓶装】
sezhe:酒精度13.5%|crumb:选酒中心＞红葡萄酒＞干红＞桃乐丝公牛血三剑客（普通+金标+特选）|price:369.0|title:桃乐丝公牛血三剑客（普通+金标+特选）
sezhe:酒精度12.5%|crumb:选酒中心＞其他＞月满中秋组合|price:也买价:2290.0|title:月满中秋组合
sezhe:酒精度13.5%|crumb:选酒中心＞红葡萄酒＞干红＞全球大牌组合（拉菲+木桐+桃乐丝+红魔鬼+洛神+杰卡斯）|price:459.0|title:全球大牌组合（拉菲+木桐+桃乐丝+红魔鬼+洛神+杰卡斯）
sezhe:酒精度13.5%|crumb:选酒中心＞其他＞桃乐丝公牛血金标干红葡萄酒（新标）【直播专享】|price:也买价:171.8|title:桃乐丝公牛血金标干红葡萄酒（新标）【直播专享】
sezhe:酒精度13.5%|crumb:选酒中心＞红葡萄酒＞干红＞桃乐丝公牛血金标（新标）礼盒-双瓶礼盒黑色烫金版礼袋装|price:258.0|title:桃乐丝公牛血金标（新标）礼盒-双瓶礼盒黑色烫金版礼袋装
sezhe:酒精度14%|crumb:选酒中心＞其他＞金标红牛高分组合|price:也买价:456.0|title:金标红牛高分组合
sezhe:|crumb:选酒中心＞其他＞驹伯-组合（2支）|price:也买价:396.0|title:驹伯-组合（2支）
sezhe:酒精度9.5%|crumb:选酒中心＞其他＞甜蜜起泡6支组合|price:269.0|title:甜蜜起泡6支组合
sezhe:|crumb:选酒中心＞红葡萄酒＞干红＞豪酒汇（国内送货）靓次伯副牌干红葡萄酒2015期酒|price:也买价:998.0|title:豪酒汇（国内送货）靓次伯副牌干红葡萄酒2015期酒
sezhe:|crumb:选酒中心＞其他＞爱士图尔干红葡萄酒2015期酒整箱（12瓶）（香港提货价，含国际运费）|price:汇率HK$1:0.8[一键换算HK$]也买价:33588.0HK$41985.0|title:爱士图尔干红葡萄酒2015期酒整箱（12瓶）（香港提货价，含国际运费）
sezhe:|crumb:选酒中心＞其他＞豪酒汇（国内送货）宝马干红葡萄酒整箱（12瓶）|price:也买价:86256.0|title:豪酒汇（国内送货）宝马干红葡萄酒整箱（12瓶）
sezhe:|crumb:选酒中心＞其他＞（国内送货）宝马干红葡萄酒整箱（12瓶）|price:也买价:86256.0|title:（国内送货）宝马干红葡萄酒整箱（12瓶）
sezhe:|crumb:选酒中心＞其他＞宝马干红葡萄酒2015期酒整箱（12瓶）（香港提货价，含国际运费）|price:汇率HK$1:0.8[一键换算HK$]也买价:58656.0HK$73320.0|title:宝马干红葡萄酒2015期酒整箱（12瓶）（香港提货价，含国际运费）
sezhe:|crumb:选酒中心＞其他＞豪酒汇靓次伯副牌干红葡萄酒2015期酒整箱（12瓶）（香港提货价，含国际运费）|price:汇率HK$1:0.8[一键换算HK$]也买价:8256.0HK$10320.0|title:豪酒汇靓次伯副牌干红葡萄酒2015期酒整箱（12瓶）（香港提货价，含国际运费）
sezhe:|crumb:选酒中心＞其他＞豪酒汇（国内送货）靓次伯副牌干红葡萄酒整箱（12瓶）|price:也买价:11976.0|title:豪酒汇（国内送货）靓次伯副牌干红葡萄酒整箱（12瓶）
sezhe:|crumb:选酒中心＞其他＞豪酒汇（国内送货）爱士图尔干红葡萄酒整箱（12瓶）|price:也买价:50376.0|title:豪酒汇（国内送货）爱士图尔干红葡萄酒整箱（12瓶）
sezhe:|crumb:选酒中心＞其他＞（国内送货）爱士图尔干红葡萄酒整箱（12瓶）|price:也买价:50376.0|title:（国内送货）爱士图尔干红葡萄酒整箱（12瓶）
sezhe:酒精度13.5%|crumb:选酒中心＞红葡萄酒＞干红＞洛神山庄赤霞珠红葡萄酒-6支装（又名：奔富洛神山庄赤霞珠干红葡萄酒）（奔富酒厂出品）|price:299.0|title:洛神山庄赤霞珠红葡萄酒-6支装（又名：奔富洛神山庄赤霞珠干红葡萄酒）（奔富酒厂出品）
sezhe:酒精度13.0%|crumb:选酒中心＞红葡萄酒＞干红＞爱思特城堡干红葡萄酒|price:120.0|title:爱思特城堡干红葡萄酒
sezhe:酒精度12.5%|crumb:选酒中心＞其他＞勃朗经典干红葡萄酒-6支装|price:210.0|title:勃朗经典干红葡萄酒-6支装
sezhe:酒精度13.0%|crumb:选酒中心＞其他＞维莎梅洛干红葡萄酒整箱|price:279.0|title:维莎梅洛干红葡萄酒整箱
sezhe:|crumb:选酒中心＞其他＞乔治杜博夫薄若莱新酒六支套装（3支大区+3支村庄）|price:888.0|title:乔治杜博夫薄若莱新酒六支套装（3支大区+3支村庄）
sezhe:酒精度13.5%|crumb:选酒中心＞红葡萄酒＞干红＞干露红魔鬼梅洛红葡萄酒|price:69.0|title:干露红魔鬼梅洛红葡萄酒
sezhe:酒精度13.0%|crumb:选酒中心＞其他＞维莎赤霞珠干红葡萄酒6支装|price:279.0|title:维莎赤霞珠干红葡萄酒6支装
sezhe:酒精度10.5%|crumb:选酒中心＞红葡萄酒＞半干红＞意大利弗莱斯凯罗葡萄酒(红)|price:49.0|title:意大利弗莱斯凯罗葡萄酒(红)
sezhe:酒精度13.50%|crumb:选酒中心＞红葡萄酒＞干红＞五色大陆珍藏赤霞珠干红葡萄酒（原名：五色大陆特级珍藏赤霞珠干红葡萄酒）|price:119.0|title:五色大陆珍藏赤霞珠干红葡萄酒（原名：五色大陆特级珍藏赤霞珠干红葡萄酒）
sezhe:酒精度14.0%|crumb:选酒中心＞红葡萄酒＞干红＞美景湾珍藏梅洛红葡萄酒|price:69.0|title:美景湾珍藏梅洛红葡萄酒
sezhe:酒精度10.0%|crumb:选酒中心＞白葡萄酒＞半甜白＞白猫雷司令半甜白葡萄酒|price:120.0|title:白猫雷司令半甜白葡萄酒
sezhe:酒精度13.0%|crumb:选酒中心＞红葡萄酒＞干红＞吉睿经典赤霞珠红葡萄酒（又名：公羊红葡萄酒）|price:88.0|title:吉睿经典赤霞珠红葡萄酒（又名：公羊红葡萄酒）
sezhe:酒精度7.5%|crumb:选酒中心＞其他＞伴你时草莓味配制酒|price:149.0|title:伴你时草莓味配制酒
sezhe:酒精度13.5%|crumb:选酒中心＞红葡萄酒＞干红＞劳伦米格尔父子系列赤霞珠西拉干红葡萄酒|price:89.0|title:劳伦米格尔父子系列赤霞珠西拉干红葡萄酒
sezhe:酒精度12.0%|crumb:选酒中心＞香槟＞干香槟＞巴黎之花香槟|price:469.0|title:巴黎之花香槟
sezhe:酒精度13.5%|crumb:选酒中心＞红葡萄酒＞干红＞贝马格雷波尔多干红葡萄酒|price:89.0|title:贝马格雷波尔多干红葡萄酒
sezhe:酒精度0.13|crumb:选酒中心＞红葡萄酒＞干红＞蒙佩奇弗朗系列珍藏波尔多干红葡萄酒187ml|price:也买价:88.0|title:蒙佩奇弗朗系列珍藏波尔多干红葡萄酒187ml
sezhe:酒精度13%|crumb:选酒中心＞红葡萄酒＞干红＞薄若莱新酒-乔治杜博夫蒲公英干红葡萄酒2015|price:167.0|title:薄若莱新酒-乔治杜博夫蒲公英干红葡萄酒2015
sezhe:酒精度13.5%|crumb:选酒中心＞红葡萄酒＞干红＞火地岛特级珍藏黑比诺干红葡萄酒|price:103.0|title:火地岛特级珍藏黑比诺干红葡萄酒
sezhe:酒精度10.0%|crumb:选酒中心＞白葡萄酒＞半甜白＞弗莱斯凯罗白葡萄酒半甜型|price:58.0|title:弗莱斯凯罗白葡萄酒半甜型
sezhe:|crumb:选酒中心＞红葡萄酒＞干红＞贝尔莱马德斯珍藏干红葡萄酒（里奥哈）2011|price:也买价:518.0|title:贝尔莱马德斯珍藏干红葡萄酒（里奥哈）2011
sezhe:酒精度13.0%|crumb:选酒中心＞红葡萄酒＞干红＞简仕兰城堡干红葡萄酒|price:118.0|title:简仕兰城堡干红葡萄酒
sezhe:酒精度10.50%|crumb:选酒中心＞起泡酒＞甜起泡酒＞香贝莫斯卡托起泡葡萄酒（200毫升又名：香贝半干起泡葡萄酒）|price:69.0|title:香贝莫斯卡托起泡葡萄酒（200毫升又名：香贝半干起泡葡萄酒）
sezhe:酒精度13%|crumb:选酒中心＞红葡萄酒＞干红＞蒙佩奇弗朗系列珍藏波尔多干红葡萄酒|price:159.0|title:蒙佩奇弗朗系列珍藏波尔多干红葡萄酒
sezhe:酒精度13.0%|crumb:选酒中心＞红葡萄酒＞干红＞地球庄园经典干红葡萄酒|price:39.0|title:地球庄园经典干红葡萄酒
sezhe:酒精度14.5%|crumb:选酒中心＞红葡萄酒＞干红＞蒙特斯欧法赤霞珠|price:179.0|title:蒙特斯欧法赤霞珠
sezhe:酒精度14.0%|crumb:选酒中心＞红葡萄酒＞干红＞莎普蒂尔奥拉丹干红葡萄酒2014|price:189.0|title:莎普蒂尔奥拉丹干红葡萄酒2014
sezhe:酒精度14.5%|crumb:选酒中心＞红葡萄酒＞干红＞美景湾家族珍藏赤霞珠红葡萄酒|price:138.0|title:美景湾家族珍藏赤霞珠红葡萄酒
sezhe:酒精度12.0%|crumb:选酒中心＞红葡萄酒＞干红＞十字圣塔干红葡萄酒|price:也买价:288.0|title:十字圣塔干红葡萄酒
sezhe:酒精度13.5%|crumb:选酒中心＞红葡萄酒＞半干红＞黄尾袋鼠珍藏加本力苏维翁红葡萄酒（又名：黄尾袋鼠珍藏解佰纳赤霞珠红葡萄酒）|price:99.0|title:黄尾袋鼠珍藏加本力苏维翁红葡萄酒（又名：黄尾袋鼠珍藏解佰纳赤霞珠红葡萄酒）
sezhe:酒精度13.5%|crumb:选酒中心＞红葡萄酒＞干红＞铁臂雷米圣鸭赤霞珠干红葡萄酒|price:49.0|title:铁臂雷米圣鸭赤霞珠干红葡萄酒
sezhe:酒精度12.0%|crumb:选酒中心＞红葡萄酒＞干红＞瓦贝罗干红葡萄酒|price:39.0|title:瓦贝罗干红葡萄酒
sezhe:|crumb:选酒中心＞其他＞宜兰树·狄俄尼索斯神殿干红葡萄酒【秒杀】|price:也买价:168.0|title:宜兰树·狄俄尼索斯神殿干红葡萄酒【秒杀】
sezhe:酒精度13.5%vol|crumb:选酒中心＞红葡萄酒＞干红＞洛神甄藏梅洛干红葡萄酒|price:99.0|title:洛神甄藏梅洛干红葡萄酒
sezhe:酒精度13.0%|crumb:选酒中心＞红葡萄酒＞干红＞奥米莱庄园红葡萄酒（中级庄）|price:119.0|title:奥米莱庄园红葡萄酒（中级庄）
sezhe:酒精度12.0%|crumb:选酒中心＞红葡萄酒＞干红＞宜兰树·狄俄尼索斯神殿干红葡萄酒|price:49.0|title:宜兰树·狄俄尼索斯神殿干红葡萄酒
sezhe:酒精度13.0%|crumb:选酒中心＞白葡萄酒＞干白＞巴黎范儿霞多丽白葡萄酒|price:69.0|title:巴黎范儿霞多丽白葡萄酒
sezhe:酒精度13.5%|crumb:选酒中心＞红葡萄酒＞干红＞塔玛瑞马贝克干红葡萄酒|price:138.0|title:塔玛瑞马贝克干红葡萄酒
sezhe:酒精度12.5%|crumb:选酒中心＞其他＞克拉希湾干红葡萄酒-6支装|price:229.0|title:克拉希湾干红葡萄酒-6支装
sezhe:酒精度8.0%|crumb:选酒中心＞白葡萄酒＞施密特世家冰酒500ML|price:215.0|title:施密特世家冰酒500ML
sezhe:酒精度10.50%|crumb:选酒中心＞起泡酒＞甜起泡酒＞香贝莫斯卡托起泡葡萄酒（750毫升又名：香贝半干起泡葡萄酒）|price:68.0|title:香贝莫斯卡托起泡葡萄酒（750毫升又名：香贝半干起泡葡萄酒）
sezhe:酒精度10.0%、10.5%|crumb:选酒中心＞白葡萄酒＞甜白＞德国爱德堡新晚秋清甜白葡萄酒500ml（又名：德国爱德堡新晚秋甜白葡萄酒500ml）|price:74.0|title:德国爱德堡新晚秋清甜白葡萄酒500ml（又名：德国爱德堡新晚秋甜白葡萄酒500ml）
sezhe:酒精度12.5%|crumb:选酒中心＞红葡萄酒＞干红＞珍藏波尔多法定产区红葡萄酒（拉菲罗斯柴尔德集团荣誉出品）-6支装|price:559.0|title:珍藏波尔多法定产区红葡萄酒（拉菲罗斯柴尔德集团荣誉出品）-6支装
sezhe:酒精度12％|crumb:选酒中心＞香槟＞干香槟＞酩悦香槟|price:339.0|title:酩悦香槟
sezhe:酒精度13.5%|crumb:选酒中心＞红葡萄酒＞干红＞塔伦达山（巴罗萨谷）赤霞珠红葡萄酒（又名：塔伦达山（现代版）赤霞珠红葡萄酒）|price:168.0|title:塔伦达山（巴罗萨谷）赤霞珠红葡萄酒（又名：塔伦达山（现代版）赤霞珠红葡萄酒）
sezhe:酒精度8.5%|crumb:选酒中心＞白葡萄酒＞半甜白＞蓝先锋甜白葡萄酒|price:195.0|title:蓝先锋甜白葡萄酒
sezhe:酒精度12.5%|crumb:选酒中心＞红葡萄酒＞干红＞瑟博古堡干红葡萄酒|price:92.0|title:瑟博古堡干红葡萄酒
sezhe:酒精度12.5%|crumb:选酒中心＞其他＞杜葡庄园干红葡萄酒-6支装|price:219.0|title:杜葡庄园干红葡萄酒-6支装
sezhe:酒精度14.0%|crumb:选酒中心＞红葡萄酒＞干红＞泥房子中奧塔哥黑比诺红葡萄酒（原泥房子天鹅系列）|price:108.0|title:泥房子中奧塔哥黑比诺红葡萄酒（原泥房子天鹅系列）
sezhe:酒精度11.5%|crumb:选酒中心＞起泡酒＞干起泡酒＞乐卡福地普洛塞克高泡葡萄酒|price:78.0|title:乐卡福地普洛塞克高泡葡萄酒
sezhe:酒精度9.5%|crumb:选酒中心＞白葡萄酒＞半甜白＞爱德堡幻彩版半甜白葡萄酒|price:49.0|title:爱德堡幻彩版半甜白葡萄酒
sezhe:酒精度13.5%|crumb:选酒中心＞其他＞黄尾袋鼠6支装（西拉*3+梅洛*3）|price:299.0|title:黄尾袋鼠6支装（西拉*3+梅洛*3）
sezhe:酒精度12.5%|crumb:选酒中心＞红葡萄酒＞干红＞神语红葡萄酒|price:也买价:88.0|title:神语红葡萄酒
sezhe:酒精度12.5%|crumb:选酒中心＞其他＞康纳斯顿IX9赤霞珠干红葡萄酒-6支装|price:239.0|title:康纳斯顿IX9赤霞珠干红葡萄酒-6支装
sezhe:酒精度12.0%|crumb:选酒中心＞红葡萄酒＞干红＞宜兰树·埠理根伊特娜一世干红葡萄酒|price:39.0|title:宜兰树·埠理根伊特娜一世干红葡萄酒
sezhe:酒精度12.0%|crumb:选酒中心＞红葡萄酒＞干红＞索之光红葡萄酒（FSA）|price:49.0|title:索之光红葡萄酒（FSA）
sezhe:酒精度13%|crumb:选酒中心＞白葡萄酒＞干白＞瑞美尔库纳瓦拉琼瑶浆干白葡萄酒|price:159.0|title:瑞美尔库纳瓦拉琼瑶浆干白葡萄酒
sezhe:酒精度13.50%|crumb:选酒中心＞红葡萄酒＞干红＞雪鹿山谷红葡萄酒|price:68.0|title:雪鹿山谷红葡萄酒
sezhe:酒精度14.0%|crumb:选酒中心＞红葡萄酒＞干红＞华诗歌赤霞珠红葡萄酒（又名：拉菲巴斯克卡本妮干红葡萄酒）（拉菲集团出品）|price:79.0|title:华诗歌赤霞珠红葡萄酒（又名：拉菲巴斯克卡本妮干红葡萄酒）（拉菲集团出品）
sezhe:酒精度13.0%|crumb:选酒中心＞红葡萄酒＞干红＞巴黎范儿赤霞珠干红葡萄酒|price:89.0|title:巴黎范儿赤霞珠干红葡萄酒
sezhe:酒精度11.5%|crumb:选酒中心＞白葡萄酒＞干白＞默多克詹姆士几维长相思白葡萄酒|price:68.0|title:默多克詹姆士几维长相思白葡萄酒
sezhe:酒精度13.0%|crumb:选酒中心＞红葡萄酒＞干红＞多米诺梅洛干红葡萄酒|price:99.0|title:多米诺梅洛干红葡萄酒
sezhe:酒精度13.0%|crumb:选酒中心＞红葡萄酒＞干红＞卢萨克城堡干红葡萄酒|price:98.0|title:卢萨克城堡干红葡萄酒
sezhe:酒精度8.0%|crumb:选酒中心＞白葡萄酒＞甜白＞教堂山雷司令甜白葡萄酒|price:109.0|title:教堂山雷司令甜白葡萄酒
sezhe:酒精度13.5%|crumb:选酒中心＞其他＞修士庄园干红葡萄酒-6支装|price:419.0|title:修士庄园干红葡萄酒-6支装
sezhe:酒精度11.5%|crumb:选酒中心＞起泡酒＞半干起泡酒＞杜波斯卡瓦起泡葡萄酒（半干型）|price:78.0|title:杜波斯卡瓦起泡葡萄酒（半干型）
sezhe:酒精度13.5%|crumb:选酒中心＞红葡萄酒＞干红＞干露红魔鬼黑皮诺红葡萄酒|price:79.0|title:干露红魔鬼黑皮诺红葡萄酒
sezhe:酒精度13.5%|crumb:选酒中心＞其他＞黄尾袋鼠赤霞珠红葡萄酒6支装|price:259.0|title:黄尾袋鼠赤霞珠红葡萄酒6支装
sezhe:酒精度13.5%|crumb:选酒中心＞红葡萄酒＞干红＞桃乐丝公牛血干红葡萄酒|price:110.0|title:桃乐丝公牛血干红葡萄酒
sezhe:酒精度0.065|crumb:选酒中心＞起泡酒＞甜起泡酒＞心语甜桃红起泡低醇葡萄酒【秒杀】|price:也买价:288.0|title:心语甜桃红起泡低醇葡萄酒【秒杀】
sezhe:酒精度13.0%|crumb:选酒中心＞红葡萄酒＞干红＞圣特庄园干红葡萄酒|price:也买价:288.0|title:圣特庄园干红葡萄酒
sezhe:酒精度13.0%|crumb:选酒中心＞白葡萄酒＞干白＞多米诺霞多丽干白葡萄酒|price:69.0|title:多米诺霞多丽干白葡萄酒
sezhe:酒精度12.0%|crumb:选酒中心＞红葡萄酒＞干红＞班菲干红葡萄酒（FSA）|price:98.0|title:班菲干红葡萄酒（FSA）
sezhe:酒精度13.0%|crumb:选酒中心＞红葡萄酒＞干红＞美景湾赤霞珠红葡萄酒|price:65.0|title:美景湾赤霞珠红葡萄酒
sezhe:酒精度7.0%|crumb:选酒中心＞起泡酒＞甜起泡酒＞爱之湾谜蓝起泡葡萄配制酒|price:49.0|title:爱之湾谜蓝起泡葡萄配制酒
sezhe:酒精度12.5%|crumb:选酒中心＞红葡萄酒＞干红＞拉昂城堡珍藏干红葡萄酒（超级波尔多）|price:79.0|title:拉昂城堡珍藏干红葡萄酒（超级波尔多）
sezhe:酒精度14%|crumb:选酒中心＞红葡萄酒＞干红＞贝托纳酒庄马尔贝克干红葡萄酒|price:78.0|title:贝托纳酒庄马尔贝克干红葡萄酒
sezhe:酒精度13.5%|crumb:选酒中心＞其他＞干露红魔鬼卡本妮苏维翁红葡萄酒-6支装（又名：干露红魔鬼赤霞珠红葡萄酒）|price:329.0|title:干露红魔鬼卡本妮苏维翁红葡萄酒-6支装（又名：干露红魔鬼赤霞珠红葡萄酒）
sezhe:酒精度13.50%|crumb:选酒中心＞白葡萄酒＞贵腐酒＞安德斯托卡伊半贵腐葡萄酒500ml（又名：安德斯伯爵托卡伊晚收白葡萄酒）|price:139.0|title:安德斯托卡伊半贵腐葡萄酒500ml（又名：安德斯伯爵托卡伊晚收白葡萄酒）
sezhe:酒精度12.5%|crumb:选酒中心＞红葡萄酒＞半干红＞西莫干红葡萄酒（又名：西莫红葡萄酒）|price:59.0|title:西莫干红葡萄酒（又名：西莫红葡萄酒）
sezhe:|crumb:选酒中心＞其他＞奥兰国际象棋干红葡萄酒黑标骑士【秒杀】|price:也买价:138.0|title:奥兰国际象棋干红葡萄酒黑标骑士【秒杀】
sezhe:酒精度12.0%|crumb:选酒中心＞红葡萄酒＞干红＞WSET新手必备红酒套装（海洋之心6支装+酒具配件组合）（FSA）|price:219.0|title:WSET新手必备红酒套装（海洋之心6支装+酒具配件组合）（FSA）
